State FIPS Code,County FIPS Code,"Poverty Estimate, All Ages",Median Household Income
1,0,905682,42917
1,1,7204,54366
1,3,25696,49626
1,5,5943,34971
1,7,3666,39546
1,9,10000,45567
1,11,3179,26580
1,13,4988,32512
1,15,23114,41123
1,17,7170,34116
1,19,4768,38013
1,21,7874,41450
1,23,3293,35049
1,25,6137,36620
1,27,2592,35940
1,29,2527,40418
1,31,8407,46931
1,33,9022,43057
1,35,3846,29101
1,37,1976,34679
1,39,7778,36149
1,41,2929,34445
1,43,13809,39922
1,45,10865,41940
1,47,14470,26602
1,49,16856,36241
1,51,10867,54298
1,53,8639,37077
1,55,19291,39904
1,57,3425,35664
1,59,7222,33881
1,61,6303,34425
1,63,2819,26504
1,65,4182,33315
1,67,2925,39930
1,69,20643,40124
1,71,11440,36923
1,73,125778,44852
1,75,2856,34553
1,77,17041,41324
1,79,5499,41574
1,81,37752,41256
1,83,11912,51175
1,85,3285,30675
1,87,5649,28518
1,89,48750,58833
1,91,5071,32977
1,93,5925,37707
1,95,20528,36536
1,97,80016,42943
1,99,5484,34733
1,101,48844,43054
1,103,17665,45082
1,105,4246,27403
1,107,4667,31933
1,109,8237,31844
1,111,4512,36939
1,113,12309,35585
1,115,12071,50571
1,117,19610,69432
1,119,4692,25413
1,121,17499,39999
1,123,8633,36779
1,125,34553,46892
1,127,15161,37245
1,129,3077,41321
1,131,3697,24035
1,133,4796,35528
2,0,81622,70898
2,13,544,55462
2,16,549,68387
2,20,29207,75200
2,50,4166,45808
2,60,89,75364
2,68,133,69692
2,70,867,51082
2,90,9011,67801
2,100,252,67260
2,105,397,51687
2,110,2500,80835
2,122,6472,62532
2,130,1685,57776
2,150,1146,67972
2,164,288,45570
2,170,10243,73981
2,180,2509,47160
2,185,1112,75682
2,188,1771,65192
2,195,276,56655
2,198,1105,43245
2,220,750,65765
2,230,37,69170
2,240,949,59641
2,261,931,73998
2,270,2845,30877
2,275,280,52201
2,282,94,52595
2,290,1416,36708
4,0,1195889,50036
4,1,23458,32366
4,3,22879,45025
4,5,27154,48653
4,7,12683,37677
4,9,6907,46046
4,11,955,59416
4,12,4545,32533
4,13,687643,53929
4,15,41178,37704
4,17,30157,35457
4,19,183590,45871
4,21,66073,49876
4,23,10966,37465
4,25,33589,44145
4,27,44112,39700
5,0,539999,41335
5,1,3735,36409
5,3,4707,36176
5,5,6021,37873
5,7,28436,57408
5,9,6206,39779
5,11,3012,32734
5,13,902,39493
5,15,4909,36964
5,17,3357,29541
5,19,4285,38504
5,21,2981,33826
5,23,3831,40555
5,25,1393,43201
5,27,5363,37495
5,29,3797,42348
5,31,21974,42851
5,33,10152,43466
5,35,13323,35455
5,37,3779,38597
5,39,1544,34018
5,41,3325,33028
5,43,4249,36801
5,45,17140,51436
5,47,3066,40404
5,49,2700,33347
5,51,17929,40621
5,53,2382,46067
5,55,6994,42572
5,57,5383,33136
5,59,5815,37831
5,61,2497,37336
5,63,6695,41085
5,65,2756,32744
5,67,3864,32427
5,69,18042,35927
5,71,4991,34923
5,73,1916,32225
5,75,3742,34916
5,77,3181,28006
5,79,2958,37644
5,81,2256,37691
5,83,4532,36391
5,85,8704,54459
5,87,2803,39158
5,89,3292,33181
5,91,8756,40877
5,93,11744,33577
5,95,2103,30682
5,97,1801,34597
5,99,2147,30935
5,101,1574,35895
5,103,5617,34971
5,105,1751,40556
5,107,6950,28171
5,109,2161,36893
5,111,5239,35851
5,113,4399,33127
5,115,10868,39909
5,117,1526,39896
5,119,61892,45698
5,121,3141,37761
5,123,7607,30489
5,125,9909,55915
5,127,2501,33202
5,129,1828,31765
5,131,27549,39907
5,133,3514,37014
5,135,3603,32101
5,137,3010,30010
5,139,9184,40841
5,141,3647,32975
5,143,41097,45589
5,145,14506,42044
5,147,1707,29969
5,149,3749,37080
6,0,6253423,61927
6,1,197984,76996
6,3,211,53003
6,5,4313,54610
6,7,48151,42302
6,9,6057,53321
6,11,3030,48006
6,13,115466,80338
6,15,5388,41419
6,17,20715,70235
6,19,261387,43338
6,21,4723,43755
6,23,27609,40581
6,25,40162,38737
6,27,2533,49267
6,29,206604,47451
6,31,33174,44490
6,33,15387,36333
6,35,4473,49995
6,37,1863025,55686
6,39,32542,43171
6,41,22272,94549
6,43,2830,47781
6,45,16256,42840
6,47,64585,43818
6,49,1770,39172
6,51,1558,59181
6,53,70259,57428
6,55,12317,71063
6,57,11193,57118
6,59,400252,76061
6,61,30490,75689
6,63,2556,47964
6,65,392706,56877
6,67,264955,55803
6,69,8162,68166
6,71,422405,51951
6,73,467248,66034
6,75,101313,83788
6,77,145167,51527
6,79,38048,61775
6,81,56580,100806
6,83,73600,62116
6,85,159553,97219
6,87,42076,64257
6,89,26016,43661
6,91,409,47293
6,93,9076,38641
6,95,51638,67106
6,97,55742,66949
6,99,95456,50917
6,101,14485,51827
6,103,11358,40782
6,105,2577,34961
6,107,127305,42360
6,109,7177,49476
6,111,95912,74967
6,113,39493,54509
6,115,15693,41403
8,0,632987,61324
8,1,61384,59316
8,3,3385,38140
8,5,68849,65359
8,7,1782,44508
8,9,711,36294
8,11,1278,35424
8,13,40299,71546
8,14,2464,85885
8,15,2114,48840
8,17,243,52273
8,19,769,69115
8,21,1888,33998
8,23,1015,27882
8,25,1244,32570
8,27,624,48368
8,29,4574,45283
8,31,103412,54872
8,33,304,44235
8,35,11740,107250
8,37,4116,76661
8,39,1408,83603
8,41,78363,59286
8,43,7282,41385
8,45,5777,62529
8,47,459,64752
8,49,1511,59379
8,51,2216,48940
8,53,78,51241
8,55,1385,32750
8,57,232,45073
8,59,45482,70687
8,61,187,42310
8,63,1080,46394
8,65,1158,46765
8,67,5549,60658
8,69,40447,57659
