STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
1001,55395,259,126,11,129
1003,200111,4668,222,283,3779
1007,22506,2,16,3,-8
1009,57719,-1,112,12,-114
1015,115916,-631,-109,31,-471
1017,34076,-99,-48,32,-88
1021,43931,95,92,19,6
1031,50909,48,88,149,-174
1033,54543,44,-47,34,96
1037,10886,-179,-13,1,-177
1043,81289,506,16,43,426
1045,49484,-361,133,116,-592
1047,41711,-391,9,16,-404
1051,80977,169,209,38,-107
1055,103531,-431,-287,63,-190
1061,26712,-30,-32,-3,13
1065,15184,-127,12,8,-140
1067,17190,-34,-24,12,-9
1069,104193,567,168,51,316
1071,52665,-279,-68,39,-224
1073,660793,1596,1767,797,-648
1077,93096,322,-165,59,453
1079,33477,-94,-22,1,-47
1081,154255,2547,831,611,1034
1083,90787,1863,306,75,1452
1085,10580,-150,5,1,-165
1089,350299,3226,1232,590,1331
1095,94636,67,129,146,-207
1097,415123,563,1211,683,-1143
1101,226189,-1082,910,470,-2368
1103,119607,-21,170,118,-252
1107,20365,982,-10,0,954
1109,33389,-293,15,117,-416
1113,59608,178,320,25,-162
1115,86697,453,190,60,150
1117,206655,2459,1055,350,1041
1121,81322,-17,-153,6,164
1125,202212,1468,788,258,502
1127,65471,-388,-183,13,-197
2020,301010,-619,2988,1197,-5001
2090,99357,-1450,1166,298,-3017
2110,32406,-220,228,59,-528
2130,13787,92,104,47,-71
2170,97882,1990,845,41,1122
4003,127448,-2296,417,295,-2987
4005,137682,992,925,124,-124
4007,53119,56,-150,30,180
4009,37957,522,289,2,236
4013,4087191,74027,27251,9931,34284
4015,203361,506,-942,12,1104
4017,108101,755,675,39,48
4019,1004516,6466,2893,2260,861
4021,401918,10953,2046,785,6843
4023,46695,-426,362,88,-898
4025,218844,3455,-826,161,3828
4027,203247,1214,1722,471,-1198
5005,40857,-139,-332,0,243
5007,242321,5020,1745,593,2706
5009,37196,-193,27,7,-224
5013,5202,-17,4,0,-24
5019,22576,-121,-22,22,-136
5025,8449,-113,2,0,-115
5027,23933,-333,-5,41,-361
5031,102518,871,542,105,284
5033,61697,39,198,9,-131
5035,49548,-210,278,23,-506
5045,120768,1378,708,90,585
5051,97322,257,-147,18,432
5053,18144,98,55,12,41
5055,43694,622,80,11,534
5059,33368,-72,-10,0,-40
5063,36959,116,69,24,42
5069,72297,-787,72,8,-881
5079,13970,-73,-30,0,-43
5081,12532,-209,-3,-1,-208
5085,71557,723,357,116,191
5087,15740,19,55,8,-38
5091,43428,48,137,-2,-76
5093,44235,-499,108,30,-645
5101,7904,-164,-26,0,-140
5103,24828,-185,-47,6,-124
5105,10245,-99,-24,1,-110
5107,19930,-496,55,2,-579
5111,24246,24,-8,34,-18
5115,63201,454,204,121,131
5119,392702,1166,2074,675,-1357
5123,26899,-403,26,22,-450
5125,115719,1534,403,45,1104
5131,126776,-342,478,118,-902
5139,40227,-448,-39,12,-434
5143,220792,4039,1988,807,1232
5145,78592,-69,229,55,-320
5149,21951,144,67,24,-5
6001,1610921,27695,9962,11155,7275
6007,224241,1821,122,274,1404
6013,1111339,15359,4477,4265,6860
6015,27212,-615,48,17,-685
6017,183087,1545,40,177,1330
6019,965974,9872,9256,2152,-1331
6023,134809,189,184,97,-15
6025,179091,1574,2093,288,-819
6029,874589,8666,9000,1842,-1775
6031,150269,-593,1527,359,-2504
6033,64184,341,-38,17,378
6035,31749,-463,75,34,-577
6037,10116705,62710,68605,52572,-53504
6039,154548,2383,1264,207,939
6041,260750,1929,423,924,724
6045,87869,398,321,98,61
6047,266353,2872,2642,558,-185
6053,431344,2221,4163,1141,-2974
6055,141667,1087,205,487,424
6057,98893,631,-62,67,709
6059,3145515,23661,19222,13400,-7945
6061,371694,4355,784,699,2530
6065,2329271,32315,14988,4377,12228
6067,1482026,18877,8735,5465,4539
6069,58267,673,426,69,203
6071,2112619,19313,17247,4277,-1869
6073,3263431,40873,23732,14637,2549
6075,852469,11331,3142,7596,521
6077,715597,10570,5004,1771,3789
6079,279083,2799,411,245,2022
6081,758581,8092,4369,4676,-788
6083,440668,4592,2623,1420,628
6085,1894605,23498,14114,17385,-7371
6087,271804,2360,1301,427,678
6089,179804,667,49,228,402
6095,431131,5912,1976,1523,2291
6097,500292,4860,1081,701,2859
6099,531997,5711,3803,1366,636
6101,95847,560,531,516,-485
6103,63067,-63,181,63,-322
6107,458198,3473,5157,439,-1916
6109,53831,-80,-90,53,-25
6111,846178,5206,5005,1840,-1530
6113,207590,2105,1254,1092,-244
6115,73966,605,735,157,-245
8001,480718,10171,4176,832,5114
8005,618821,10693,4179,2289,4220
8013,313333,2937,1303,922,731
8014,62138,1832,400,115,1186
8019,9187,77,8,15,57
8031,663862,15461,5421,2047,7977
8035,314638,8341,2354,417,5149
